AIRPORT,Latitude,Longitude,Year,Month,Dom_Flight_In,Dom_Flight_Out,Int_Flight_In,Int_Flight_Out
CAIRNS,-16.87673,145.754135,2019,11,166611,170095,21997,22149
CAIRNS,-16.87673,145.754135,2019,12,178108,171434,25408,27336
CAIRNS,-16.87673,145.754135,2020,1,167386,180829,28638,24465
CAIRNS,-16.87673,145.754135,2020,2,112318,121118,24070,19120
CAIRNS,-16.87673,145.754135,2020,3,87371,93860,10976,10079
CAIRNS,-16.87673,145.754135,2020,4,3459,3967,30,24
CAIRNS,-16.87673,145.754135,2020,5,4457,4324,37,55
CAIRNS,-16.87673,145.754135,2020,6,13751,12639,102,144
CAIRNS,-16.87673,145.754135,2020,7,54621,49769,53,72
CAIRNS,-16.87673,145.754135,2020,8,47105,50717,79,58
HOBART,-42.837284,147.505005,2017,1,118191,132076,0,0
HOBART,-42.837284,147.505005,2017,2,103325,102059,0,0
HOBART,-42.837284,147.505005,2017,3,107501,111737,0,0
HOBART,-42.837284,147.505005,2017,4,104746,109772,0,0
HOBART,-42.837284,147.505005,2017,5,88382,92193,0,0
HOBART,-42.837284,147.505005,2017,6,90673,89636,0,0
HOBART,-42.837284,147.505005,2017,7,99196,102431,0,0
HOBART,-42.837284,147.505005,2017,8,87387,87859,0,0
HOBART,-42.837284,147.505005,2017,9,97992,91468,0,0
HOBART,-42.837284,147.505005,2017,10,108902,108200,0,0
HOBART,-42.837284,147.505005,2017,11,110717,110395,0,0
HOBART,-42.837284,147.505005,2017,12,135137,120368,0,0
HOBART,-42.837284,147.505005,2018,1,125218,141366,0,0
HOBART,-42.837284,147.505005,2018,2,113258,109757,0,0
HOBART,-42.837284,147.505005,2018,3,123639,124859,0,0
HOBART,-42.837284,147.505005,2018,4,111145,118749,0,0
HOBART,-42.837284,147.505005,2018,5,90232,93341,0,0
HOBART,-42.837284,147.505005,2018,6,91837,92643,0,0
HOBART,-42.837284,147.505005,2018,7,106020,106872,0,0
HOBART,-42.837284,147.505005,2018,8,94063,94842,0,0
HOBART,-42.837284,147.505005,2018,9,101772,96920,0,0
HOBART,-42.837284,147.505005,2018,10,118753,117015,0,0
HOBART,-42.837284,147.505005,2018,11,119996,117668,0,0
HOBART,-42.837284,147.505005,2018,12,141828,124835,0,0
HOBART,-42.837284,147.505005,2019,1,130366,147840,0,0
HOBART,-42.837284,147.505005,2019,2,118030,113881,0,0
HOBART,-42.837284,147.505005,2019,3,120100,123918,0,0
HOBART,-42.837284,147.505005,2019,4,114959,119517,0,0
HOBART,-42.837284,147.505005,2019,5,95801,98915,0,0
HOBART,-42.837284,147.505005,2019,6,100817,100831,0,0
HOBART,-42.837284,147.505005,2019,7,109278,111707,0,0
HOBART,-42.837284,147.505005,2019,8,101185,101926,0,0
HOBART,-42.837284,147.505005,2019,9,108777,103743,0,0
HOBART,-42.837284,147.505005,2019,10,121894,119785,0,0
HOBART,-42.837284,147.505005,2019,11,123885,123263,0,0
HOBART,-42.837284,147.505005,2019,12,144019,127302,0,0
HOBART,-42.837284,147.505005,2020,1,135552,149565,0,0
HOBART,-42.837284,147.505005,2020,2,115076,113163,0,0
HOBART,-42.837284,147.505005,2020,3,72088,80867,0,0
HOBART,-42.837284,147.505005,2020,4,780,1341,0,0
HOBART,-42.837284,147.505005,2020,5,1263,2003,0,0
HOBART,-42.837284,147.505005,2020,6,2302,3099,0,0
HOBART,-42.837284,147.505005,2020,7,2840,3618,0,0
HOBART,-42.837284,147.505005,2020,8,2400,3050,0,0
MELBOURNE,-37.663712,144.844788,2017,1,1090953,1037134,523394,456706
MELBOURNE,-37.663712,144.844788,2017,2,936529,925300,424162,354176
MELBOURNE,-37.663712,144.844788,2017,3,1067607,1069795,388096,397069
MELBOURNE,-37.663712,144.844788,2017,4,1046704,1038005,421407,426800
MELBOURNE,-37.663712,144.844788,2017,5,982991,993236,355754,384545
MELBOURNE,-37.663712,144.844788,2017,6,966297,988130,368104,439357
MELBOURNE,-37.663712,144.844788,2017,7,1109391,1101270,498958,427923
MELBOURNE,-37.663712,144.844788,2017,8,1032519,1026705,417818,422697
